character_id,name,normalized_name,gender,word_count,line_count,episode_count
2,Homer Simpson,homer simpson,m,287684,28005,564
1,Marge Simpson,marge simpson,f,134741,13220,563
8,Bart Simpson,bart simpson,m,118773,13129,562
9,Lisa Simpson,lisa simpson,f,99549,10830,562
15,C. Montgomery Burns,c montgomery burns,m,36440,3109,240
17,Moe Szyslak,moe szyslak,m,33803,2799,375
3,Seymour Skinner,seymour skinner,m,28042,2384,295
11,Ned Flanders,ned flanders,m,22812,2050,280
139,Krusty the Clown,krusty the clown,m,20876,1713,236
31,Grampa Simpson,grampa simpson,m,20100,1870,264
71,Chief Wiggum,chief wiggum,m,19958,1791,315
211,Kent Brockman,kent brockman,m,16121,892,234
25,Milhouse Van Houten,milhouse van houten,m,14843,1788,323
208,Apu Nahasapeemapetilon,apu nahasapeemapetilon,m,11433,985,196
165,Lenny Leonard,lenny leonard,m,9770,1142,319
14,Waylon Smithers,waylon smithers,m,9517,964,179
101,Nelson Muntz,nelson muntz,m,8350,1136,273
332,Dr. Julius Hibbert,dr julius hibbert,m,7749,671,207
40,Edna Krabappel-Flanders,edna krabappel-flanders,f,7659,760,129
170,Carl Carlson,carl carlson,m,7097,848,280
140,Rev. Timothy Lovejoy,rev timothy lovejoy,m,6859,553,132
153,Sideshow Bob,sideshow bob,m,6380,525,17
240,Mayor Joe Quimby,mayor joe quimby,m,6121,494,137
5932,Neil Gaiman,neil gaiman,NA,6038,9,1
801,Comic Book Guy,comic book guy,m,5689,460,121
1078,Gary Chalmers,gary chalmers,m,5661,517,98
5014,Ted Nugent,ted nugent,m,5118,8,2
22,Selma Bouvier,selma bouvier,f,4917,564,103
404,Groundskeeper Willie,groundskeeper willie,m,4874,503,163
33,Announcer,announcer,m,4831,384,184
442,Professor Jonathan Frink,professor jonathan frink,m,4776,326,96
18,Barney Gumble,barney gumble,m,4437,558,177
426,Troy McClure,troy mcclure,m,3947,220,27
10,Patty Bouvier,patty bouvier,f,3748,460,106
38,Martin Prince,martin prince,m,3710,387,126
3487,Greta Wolfcastle,greta wolfcastle,NA,3633,21,1
52,Otto Mann,otto mann,m,3577,406,136
699,Sideshow Mel,sideshow mel,m,3350,341,147
3989,Ebenezer Urkel,ebenezer urkel,NA,3340,1,1
1088,Actor,actor,NA,3148,15,9
119,Ralph Wiggum,ralph wiggum,m,3001,468,180
568,Fat Tony,fat tony,m,2973,276,24
91,Lou,lou,m,2702,343,148
144,Jimbo Jones,jimbo jones,m,2599,341,130
817,Kirk Van Houten,kirk van houten,m,2501,236,69
192,Agnes Skinner,agnes skinner,f,2462,258,92
56,Narrator,narrator,m,2402,156,30
1413,Cletus Spuckler,cletus spuckler,m,2321,225,101
2369,Gil Gunderson,gil gunderson,m,2186,154,41
347,Lionel Hutz,lionel hutz,m,2116,159,25
518,Snake Jailbird,snake jailbird,m,1928,231,83
145,Kearney Zzyzwicz,kearney zzyzwicz,m,1807,258,121
1508,The Rich Texan,the rich texan,m,1704,149,38
417,HERB,herb,m,1686,140,2
1114,Rainier Wolfcastle,rainier wolfcastle,m,1575,157,50
464,Miss Hoover,miss hoover,f,1489,154,47
146,DOLPH,dolph,m,1400,194,81
214,Judge Snyder,judge snyder,m,1365,134,43
414,Mona Simpson,mona simpson,f,1331,118,8
335,"Roger Meyers, Jr.",roger meyers jr,m,1291,88,6
1975,Manjula Nahasapeemapetilon,manjula nahasapeemapetilon,f,1233,137,17
3843,Declan Desmond,declan desmond,m,1155,91,4
262,Kang,kang,NA,1142,119,23
308,Maude Flanders,maude flanders,f,1141,127,46
309,Helen Lovejoy,helen lovejoy,f,1129,114,49
351,Blue-Haired Lawyer,blue-haired lawyer,m,1065,91,27
785,Lurleen Lumpkin,lurleen lumpkin,f,1055,92,3
349,Dr. Nick Riviera,dr nick riviera,m,1051,108,31
1435,Luigi,luigi,m,1037,83,38
5,Todd Flanders,todd flanders,m,1024,178,68
3057,Lindsay Naegle,lindsay naegle,f,1021,90,27
96,Dr. Marvin Monroe,dr marvin monroe,m,996,62,12
2277,Duffman,duffman,m,969,89,23
264,Kodos,kodos,NA,963,98,23
4539,Mary,mary,f,951,82,4
570,Louie,louie,m,940,104,25
598,Rabbi Hyman Krustofsky,rabbi hyman krustofsky,m,940,77,10
742,Tour Guide,tour guide,m,906,61,17
273,Jasper Beardly,jasper beardly,m,896,123,66
75,Crowd,crowd,NA,882,197,103
1046,Baseball Announcer,baseball announcer,m,877,44,7
163,Jacques,jacques,m,877,82,2
591,Luann Van Houten,luann van houten,f,875,97,29
311,Man,man,m,853,106,69
43,Dr. J. Loren Pyror,dr j loren pyror,m,849,53,6
2040,Hank Scorpio,hank scorpio,m,845,57,1
465,BERGSTROM,bergstrom,m,843,58,1
124,Salesman,salesman,m,838,65,22
5947,Annie Crawford,annie crawford,f,830,74,2
373,Artie Ziff,artie ziff,m,816,72,4
1452,Old Jewish Man,old jewish man,m,815,83,35
353,Larry,larry,m,803,63,9
118,Woman,woman,f,803,102,58
511,MICHAEL,michael,m,797,81,3
4606,Charles Heathbar,charles heathbar,m,790,46,1
2256,Frank Grimes,frank grimes,m,787,59,2
3498,BUCK,buck,m,782,75,2
1867,Disco Stu,disco stu,m,774,43,27
615,Colonel,colonel,m,773,58,5
